"url","listingUrl","title","id","price","baths","rooms","sqft","description","address","typology","advertiserProfessionalName","advertiserName"
"https://www.idealista.com/inmueble/104027174/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en calle de Villanueva","104027174","1920000","3","3","183","Residencia única con acabados de la más alta calidad. Descubra la esencia del lujo en este magnífico piso reformado ubicado en la prestigiosa zona de Salamanca Recoletos. Con la firma de una reconocida interiorista en este proyecto de 253 m2. El espacio se ha diseñado con visión de paisajismo luminoso al detalle e incluye una amplia sala de estar, un comedor elegante, una cocina independiente que se integra armoniosamente con el salón, tres dormitorios en suite, un aseo para invitados, un dormitorio de servicio y una zona de lavandería. Los suelos de roble en espiga, la cocina equipada con electrodomésticos de primera categoría (Miele), y los exquisitos mármoles en baños y cocina, son solo algunas de las características que definen la sofisticación de este proyecto.La residencia, bañada por la luz del sol todo el día gracias a su orientación sur, cuenta con un ventanal con vistas al parque del Retiro. Además, el suelo radiante frío/calor garantiza una temperatura perfecta en cualquier época del año. Este exclusivo proyecto de reforma esta completamente a disposición, asegurando un hogar que fusiona el lujo contemporáneo con la elegancia clásica.MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS.Sin duda, el distrito selecto por excelencia de Madrid. Pasear por las calles del barrio de Salamanca es contemplar los edificios más elegantes y codiciados de la capital: construcciones históricas de portales señoriales e interiores amplios y altos. Concebido en las últimas décadas del siglo XIX por D. José de Salamanca y Mayol, Marqués de Salamanca, este ensanche de la ciudad conserva intacto su aire aristocrático, que podemos ver en palacetes como el de la Embajada de Italia, por ejemplo.En este epicentro del lujo se localiza la conocida “Milla de Oro”: un área comercial donde tienen su sede marcas prestigiosas como Dior, Chanel, Prada o Tiffany y Promora. Tiendas como Gallery, BD o Vitra y restaurantes como Ramsés o No, responden a los gustos de un life style moderno y sofisticado. Hablamos de una zona dinámica y segura, de grandes aceras, con un parking casi ilimitado y con una interesante vida nocturna: Nxt Club, Déjate Besar o Le Boutique Club.No faltan las galerías de arte y los espacios dedicados a la cultura como la Fundación March o el museo Lázaro Galdiano. Sin olvidar sus árboles frondosos y la cercanía al parque del Retiro, el gran pulmón verde del centro de Madrid.","Recoletos, Madrid","Pisos","Promora Madrid ","Promora Madrid"
"https://www.idealista.com/inmueble/102321942/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en calle de Núñez de Balboa","102321942","1995000","3","3","170","Preciosa reforma a estrenar, con terrazas y garajeEngel & Völkers presenta esta oportunidad a estrenar, con una moderna y funcional reforma de lujo y una amplia plaza de garaje opcional en finca con acceso directo.Ubicada en un elegante edificio de los años 60, a 100 metros de la calle José Ortega y Gasset, una de las calles más representativas de Madrid, y a 250m de la calle Velázquez, inmejorable comunicación. Se trata de una vivienda muy tranquila y luminosa, en una primera planta, con orientación Este. Sus 160 metros cuadrados aprox., se distribuyen en un amplio salón-comedor doble con chimenea y terraza con agradables vistas y, la zona privada cuenta con dos dormitorios dobles con baño en suite, y un tercer dormitorio individual o despacho. Dispone de una amplia cocina equipada con primeras marcas, aseo de cortesía y laundry independiente. Incluye también un cómodo trastero.La vivienda dispone de calefacción y agua caliente individuales, con servicio de portería.Inmejorable rentabilidad por la demanda de alquileres en la zona, muy cercana al IE, a Embajadas y a zonas comerciales. Las infraestructuras con las que cuenta la zona son muy completas, contando con diversas paradas de Metro y autobús. La zona de Castellana donde se encuentra ubicada la finca, es una de las zonas más prestigiosas de Madrid, con la mayor área de compras de lujo como Chanel, Jimmy Choo, Omega o Louis Vuitton, las mejores tiendas gourmet, hoteles de lujo, restaurantes exquisitos, prestigiosas galerías de arte en Serrano y Velázquez, centros universitarios como el IE y el CEU, y una amplia oferta de servicios que convierten a la zona de residencial y comercial de mayor prestigio.El barrio de Salamanca es una de las zonas más relevantes de Madrid, tanto por su peculiar distribución como por los vecinos que tradicionalmente han habitado sus emblemáticas calles. Su construcción data de la segunda mitad del siglo XIX y corresponde a la ampliación urbanística llevada a cabo durante el reinado de Isabel II. El precursor al que se debe su nombre fue el malagueño José de Salamanca y Mayol, Marqués de Salamanca, quien concibió un nuevo emplazamiento con una cuidada edificación que albergara a las clases aristocráticas y burguesas de Madrid. De estilo decimonónico, se caracteriza por su especial distribución regular en forma de damero con calles perpendiculares. Sus edificios gozan de especial interés gracias a su calidad arquitectónica y la belleza de sus fachadas.Tradicionalmente Salamanca fue una zona de uso residencial, especialmente habitada por las élites políticas y económicas del país. En los últimos cincuenta años este carácter residencial convive con otras actividades como la empresarial, la diplomática y, especialmente la comercial ya que es uno de las áreas de moda de lujo más importantes de la capital.","Castellana, Madrid","Pisos","Madrid MMC ","Engel & Völkers Madrid"
"https://www.idealista.com/inmueble/103334142/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en Conde Orgaz-Piovera","103334142","1300000","3","4","270","DE SALAS CONSULTORES INMOBILIARIOS MAV02679 les presenta EN EXCLUSIVA este maravilloso piso en venta en una magnífica urbanización, con 4 dormitorios, 3 baños y una estupenda terraza.MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA.La vivienda, amplia y señorial, tiene 269m2 catastrales, de los cuales, 210 pertenecen al piso y el resto a zonas comunes.El hall de entrada, con armario gabanero, separa perfectamente el salón, la cocina y la zona de noche.El majestuoso salón-comedor (62m2), decorado en 3 ambientes diferenciados, cuenta con grandes ventanales que proporcionan una increíble luz a la estancia, desde la cual podemos salir a una fabulosa terraza (10m2) con orientación SUR, que podremos disfrutar durante muchos meses del año.La cocina (14m2) con mobiliario en 3 de sus 4 paredes, cuenta con numerosos armarios para almacenaje y cómodas zonas de trabajo. Con electrodomésticos de alta gama y salida a un práctico lavadero-tendedero (3m2) con cabida para lavadora y secadora en paralelo. Junto al hall d entrada encontramos un dormitorio (11m2) un closet para almacenaje de ropa de temporada y un cuarto de baño (5m2) con bañera, w. c. y bidé.Una puerta separa el resto de baños y dormitorios distribuidos a lo largo de un pasillo.La habitación principal (20m2) tiene un bonito ventanal mirador, un vestidor (5m2) zona de armarios y un lujoso cuarto de baño en suite al que no le falta detalle. Bañera, ducha, zona independiente para el w. c. y bidé y un magnífico lavabo de doble seno, todo en un elegante mármol travertino. Las otras habitaciones (13,50m2 y 12,50m2), ambas con armarios empotrados y una de ellas con ventanal mirador de suelo a techo, comparten un cuarto de baño completo, (4,5m2) con bañera, w. c. y bidé. Junto a los dormitorios se encuentra además otro práctico armario para la ropa blanca.La vivienda tiene paredes lisas, suelo en madera, calefacción por gas natural y aire acondicionado por conductos internos. Las zonas comunes, con gran vegetación, se componen de piscina, área de solarium, zona infantil y pista multideportiva. Sin duda, uno de los mejores pisos que se encuentran actualmente en venta en esta zona, que se complementa con 2 plazas de garaje (una de ellas para 1 coche y 2 motos) y un cuarto trastero.","Hortaleza, Madrid","Pisos","De Salas Consultores Inmobiliarios","De Salas Consultores Inmobiliarios"
"https://www.idealista.com/inmueble/104161987/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en Nueva España","104161987","1650000","3","3","248","Gilmar Real Estate vende espectacular piso en Nueva España, una residencia de 248 metros cuadrados que redefine el concepto de hogar. Desde el primer paso, te recibirá un hall de entrada que anticipa la amplitud y elegancia que caracteriza este exclusivo espacio.El espacioso salón-comedor (PENDIENTE DE SUBIR 5 FOTOS MÁS), distribuido en varias estancias, se convierte en el escenario perfecto para crear momentos inolvidables en compañía de familiares y amigos. La cocina independiente, generosa en iluminación y espacio, no solo brinda funcionalidad sino también un ambiente acogedor, ideal para disfrutar de desayunos y almuerzos en una mesa especialmente diseñada.Este piso cuenta con cuatro dormitorios, cada uno equipado con armarios empotrados que ofrecen un almacenamiento organizado y eficiente. Los tres baños, elementos de lujo en sí mismos, añaden comodidad y privacidad a esta impresionante propiedad.La presencia de una terraza de 12 metros proporciona un espacio al aire libre para relajarse y disfrutar de momentos de tranquilidad. Además, la entrada para servicio agrega un toque de practicidad a tu día a día.La finca, enriquecida con un jardín, y la inclusión de trastero y plaza de garaje en el precio, destacan la atención al detalle y la comodidad que este piso exclusivo tiene para ofrecer. Gilmar Real Estate te invita a descubrir más sobre esta propiedad única. ¡Contáctanos para obtener más información y dar el primer paso hacia la casa de tus sueños!","Chamartín, Madrid","Pisos","departamento comercial","Gilmar Viso - Chamartín"
"https://www.idealista.com/inmueble/103989666/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en calle de Claudio Coello","103989666","1590750","3","3","116","Descubre esta impresionante vivienda exterior con vistas a una de las calles más destacadas del exclusivo barrio Recoletos.Con una superficie de 116 m², este luminoso apartamento se distribuye en un amplio hall de entrada, un espacioso salón, una cocina completamente equipada, tres dormitorios y tres baños. La orientación este y su ubicación en la tercera planta garantizan una extraordinaria luminosidad y una agradable entrada de luz natural en todas las estancias.La cocina, equipada con electrodomésticos de alta gama, cuenta con muebles elegantes y una encimera de mármol, añadiendo un toque de sofisticación a este espacio culinario. La vivienda cuenta con tres dormitorios, dos de ellos dobles y con baño en suite, mientras que el tercer dormitorio es individual, ofreciendo opciones flexibles para adaptarse a tus necesidades.La reforma de la vivienda se ha llevado a cabo recientemente, utilizando materiales de alta calidad que garantizan un acabado moderno y elegante. Además, el inmueble incluye una plaza de garaje en la finca, con acceso directo para mayor comodidad y practicidad.No pierdas la oportunidad de adquirir esta impresionante propiedad en una de las zonas más exclusivas de Madrid. ¡Contáctanos hoy mismo para más detalles y para concertar una visita!Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava.Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.","Recoletos, Madrid","Pisos","Walter Haus Salamanca","Walter Haus Madrid"
"https://www.idealista.com/inmueble/103963452/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en avenida del General Perón","103963452","1590000","4","5","360","Walter Haus presenta este excepcional piso exterior, a reformar, y que ocupa una posición privilegiada en la Avenida de General Perón. Ubicado en la sexta planta, este impresionante inmueble ofrece un diseño cuidadosamente distribuido que comprende cinco habitaciones, cuatro baños, una amplia cocina equipada con abundante espacio de almacenamiento, y un inmenso salón independiente que se llena de luz natural.Con varios armarios empotrados, así como plaza de garaje y trastero, esta vivienda asegura un almacenamiento conveniente y práctico para sus residentes. Además, cuenta con aire acondicionado y servicios centrales de agua y calefacción, garantizando un confort óptimo durante todo el año.La finca donde se encuentra este piso ofrece comodidades adicionales, como ascensor y portero físico, agregando un nivel de conveniencia y seguridad a la vida diaria de sus habitantes.Esta propiedad representa una oportunidad única para aquellos que buscan una vivienda de alta calidad con espacios bien distribuidos. Su combinación de tamaño generoso, amplios baños y su condición de ser exterior la convierten en una opción sumamente atractiva para quienes desean establecer un hogar acogedor y funcional en una ubicación privilegiada de la ciudad.Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava.Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.","Cuatro Caminos, Madrid","Pisos","Walter Haus Chamartin","Walter Haus Madrid"
"https://www.idealista.com/inmueble/103363210/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en calle del Príncipe de Vergara","103363210","5700000","5","4","305","DIZA consultores les presenta vivienda de lujo y diseño en edificio clásico catalogado. Desde su amplio hall de entrada, podemos sentir el cuidado y el detalle con el que se ha llevado a cabo este proyecto. Un amplia puerta corredera de madera maciza nos dirige a la zona social, que cuenta con un amplio salón, comedor para 10 comensales y cocina, todo ello unido en un único espacio con 6 balcones a la calle. Sus 305 metros están distribuidos de una forma envidiable y permiten diferenciar las distintas zonas. En la zona de descanso, encontramos un total de 3 habitaciones todas ellas con baño en suite, y siendo dos de ellas exteriores con balcón exterior. Adicionalmente, cuenta con una habitación de servicio o invitados con baño en suite. Por sus características, su ubicación, y el edificio al que pertenece, se trata de una de las propiedades mas exclusivas del Barrio de Salamanca en la actualidad.Convertimos Sueños en Hogares.","Recoletos, Madrid","Pisos","DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid ","DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid"
"https://www.idealista.com/inmueble/103938653/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en Ayala","103938653","2190000","4","4","183","Nos complace presentar esta espectacular vivienda totalmente reformada, lista para estrenar, ubicada en una preciosa finca clásica. Con una distribución inteligente y elegante, esta residencia ofrece una amplia zona de día que incluye una cocina totalmente equipada, ideal para los amantes de la cocina gourmet.El luminoso salón exterior cuenta con un encantador balcón y un mirador que ofrece vistas a la calle, creando un espacio perfecto para relajarse y disfrutar de la vida urbana. Con un total de 4 habitaciones y 3 baños, además de un aseo de cortesía y una zona de lavandería, esta propiedad ofrece comodidades excepcionales para toda la familia contando además con doble orientación norte y sur.Además, se incluye un amplio trastero que brinda espacio adicional para almacenaje, lo que hace de esta vivienda una opción aún más atractiva. Con acabados de alta calidad y atención al detalle en cada rincón, esta es una oportunidad única para aquellos que buscan un hogar que combine el encanto clásico con la modernidad y el confort.No pierdas la oportunidad de adquirir esta impresionante propiedad en una ubicación privilegiada. Contáctanos hoy mismo para obtener más información y programar una visita. ¡Bienvenido a tu nuevo hogar!Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava.Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.","Goya, Madrid","Pisos","Walter Haus Salamanca","Walter Haus Madrid"
"https://www.idealista.com/inmueble/103789810/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Ático en venta en calle de Goya","103789810","1190000","2","2","112","DIZA Consultores, les presenta ático reformado de lujo en Goya.En la 6 planta de un edificio de mediados de siglo XX, se encuentra esta propiedad de 112 metros cuadrados, distribuida en 86 metros de vivienda y 26 metros de terraza.La vivienda ha sido reformada integralmente cuidado hasta el mínimo detalle y con las mejores calidades. En la zona social, encontramos el salón comedor con acceso a la agradable terraza ático, con tamaño suficiente como para albergar un comedor de verano y un sofá, cocina equipada con electrodomésticos de alta gama. En la zona de descanso, cuenta con 2 habitaciones contando ambas con baño en suite. Debido a su orientación y altura posee una gran luminosidad en todas sus estancias. Convertimos Sueños en Hogares.","Goya, Madrid","Pisos","DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid ","DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid"
"https://www.idealista.com/inmueble/103653079/","https://www.idealista.com/venta-viviendas/madrid-madrid/","Piso en venta en avenida del Talgo","103653079","675000","2","3","153","¡Bajo duplex de 150m2, con jardín de 50m2, 3 dormitorios, en Avenida del Talgo!Gilmar Pozuelo - Aravaca les presenta, en exclusiva, este fantástico bajo con jardín dúplex, ubicado en una de las urbanizaciones más demandadas de Aravaca, en la Avenida del Talgo. Urbanización privada con portero 24 horas, piscina, zonas verdes, pádel, y gimnasioLa vivienda, de 150m2 construidos de catastro, (131m2 escriturados), se distribuye de la siguiente forma:Planta principalSalón – comedor, independiente. Dispone de mueble boiserie hecho a medida. Cocina independiente completa con zona office y tendedero amplio.Aseo de cortesíaPlanta bajaDormitorio principal con baño en suite y armario empotrado con puertas correderas vestido y de gran capacidad.Dos dormitorios secundarios dobles, con armarios empotrados con puertas correderas vestidos de gran capacidad. Baño independiente completo.Acceso al jardín, de 50m2 el cual está compuesto por una zona solada y otra con césped artificial. Dispone de autorriego. Celosía con vegetación, de buena altura, le confiere una gran privacidad.Incluye plaza de garaje amplia y trastero de 7m2Calidades y características:Puertas lacadas en blancoCalefacción individual por gas naturalAire acondicionado splitLa Avenida del Talgo, es una zona de Aravaca estación tremendamente demandada debido a su cercanía al tren, y a la vez de la Avenida de Europa de Pozuelo. Dispone de todo tipo de comercios, restaurantes, y servicios. La conexión por carretera con el centro es inmejorable. Múltiples líneas de autobús urbano e interurbano.***Consúltanos para conocer acerca de nuestro centro hipotecario y nuestra empresa de reformas, entre otras muchas ventajas que obtendrás comprando con Gilmar. ***.","Aravaca, Madrid","Pisos","Gilmar Pozuelo - Aravaca","Gilmar Pozuelo - Aravaca"
